ENGLISH,,,FRENCH,,,,
Identification,,,Identification,,,,
,ID,,,ID,,,
,Name of shelter,,,Nom de l'abri,,,
,Survey date,,,Date de l'enquête,,,
,Zone,Africa; Americas & Caribbean; Asia Pacific; Europe; Middle East & North Africa,,Zone Mouvement CRCR,Afrique; Amérique & Caraïbes; Asie Pacifique; Europe; Moyen Orient & Afrique du Nord,,
,Country,,,Pays,,,
,Province / District / Region,,,Province / District / Région,,,
,City / Village,,,Ville / Village,,,
,GPS Latitude,,,GPS Latitude,,,
,GPS Longitude,,,GPS Longitude,,,
,GPS Altitude,,,GPS Altitude,,,
,Climate zone,dry polar; dry moderate; dry tropical; moist polar; moist moderate; moist tropical,,Climat,polaire (froid sec); continental (tempéré sec); tropical sec (aride); subarctique (froid humide); océanique (tempéré humide); tropical humide  ,,
,Landform,mountains; plateaus; hills; valley; plain; river delta; desert,,Relief,montagne; plateau; colline; vallée; plaine; delta (rivière); dune,,
Disaster & Response,,,Catastrophe et secours,,,,
,Associated disaster / Immediate cause,earthquake; flood; storm/cyclone; volcanic eruption; fire; rockfall/landslide; tsunami; drought/famine; epidemic; conflict related; other,,Catastrophe / cause immédiate ,séisme; inondations; tempête/cyclone; éruption volcanique; feu; chute de pierres/ glissement de terrain; tsunami; sécheresse/famine; épidémie; conflit; autre,,
,Main hazards in country,earthquake; flood; storm/cyclone; volcanic eruption; fire; rockfall/landslide; tsunami; drought,,Principaux aléas dans le pays,séisme; inondations; tempête/cyclone; éruption volcanique; feu; chute de pierres/ glissement de terrain; tsunami; sécheresse,,
,Type of Implementing Agency,by private sector; by government; by NGO/agency; self-built,,Type d'organismes d'exécution,secteur privé; Gouvernement; ONG/organisme; auto-construction ,,
,Implementing Agency,,,Organisme d'exécution (Gouvernemental) ,,,
,Name of Project Manager,,,Nom du Directeur de Projet (optionnel),,,
,Name of local partner (NGO/Government),,,Nom du partenaire local  (ONG/Gouvernement),,,
,Name of Governmental Agency in charge of Disaster Management,,,Nom de l'Agence Gouvernementale en charge de la Gestion des Catastrophes,,,
,Name of Governmental Agency in charge of Construction ,,,Nom de l'Agence Gouvernementale en charge de la Construction ,,,
,Type of shelter,emergency shelter; transitional shelter; core shelter; permanent shelter,,Type d'abri/logement,logement d'urgence; logement transitoire/de transition; unité de logement de base; logement permanent,,
,Total number of shelter built during project,,,Nombre total d'abris construits (pendant le projet),,,
,Type of work (construction),retrofit; repair; rebuilding; relocation,,Type de travaux (construction),rénovation/réhabilitation; réparation; reconstruction; délocalisation,,
