id,original,translated,language_code
1,ENGLISH,FRENCH,fr
2,Identification,Identification,fr
3,ID,ID,fr
4,Name of shelter,Nom de l'abri,fr
5,Survey date,Date de l'enquête,fr
6,Zone,Zone Mouvement CRCR,fr
7,Africa,Afrique,fr
8,Americas & Caribbean,Amérique & Caraïbes,fr
9,Asia Pacific,Asie Pacifique,fr
10,Europe,Europe,fr
11,Middle East & North Africa,Moyen Orient & Afrique du Nord,fr
12,Country,Pays,fr
13,Province / District / Region,Province / District / Région,fr
14,City / Village,Ville / Village,fr
15,GPS Latitude,GPS Latitude,fr
16,GPS Longitude,GPS Longitude,fr
17,GPS Altitude,GPS Altitude,fr
18,Climate zone,Climat,fr
19,dry polar,polaire (froid sec),fr
20,dry moderate,continental (tempéré sec),fr
21,dry tropical,tropical sec (aride),fr
22,moist polar,subarctique (froid humide),fr
23,moist moderate,océanique (tempéré humide),fr
24,moist tropical,tropical humide,fr
25,Landform,Relief,fr
26,mountains,montagne,fr
27,plateaus,plateau,fr
28,hills,colline,fr
29,valley,vallée,fr
30,plain,plaine,fr
31,river delta,delta (rivière),fr
32,desert,dune,fr
33,Disaster & Response,Catastrophe et secours,fr
34,Associated disaster / Immediate cause,Catastrophe / cause immédiate,fr
35,earthquake,séisme,fr
36,flood,inondations,fr
37,storm/cyclone,tempête/cyclone,fr
38,volcanic eruption,éruption volcanique,fr
39,fire,feu,fr
40,rockfall/landslide,chute de pierres/ glissement de terrain,fr
41,tsunami,tsunami,fr
42,drought/famine,sécheresse/famine,fr
43,epidemic,épidémie,fr
44,conflict related,conflit,fr
45,other,autre,fr
46,Main hazards in country,Principaux aléas dans le pays,fr
47,earthquake,séisme,fr
48,flood,inondations,fr
49,storm/cyclone,tempête/cyclone,fr
50,volcanic eruption,éruption volcanique,fr
51,fire,feu,fr
52,rockfall/landslide,chute de pierres/ glissement de terrain,fr
53,tsunami,tsunami,fr
54,drought,sécheresse,fr
55,Type of Implementing Agency,Type d'organismes d'exécution,fr
56,by private sector,secteur privé,fr
57,by government,Gouvernement,fr
58,by NGO/agency,ONG/organisme,fr
59,self-built,auto-construction,fr
60,Implementing Agency,Organisme d'exécution (Gouvernemental),fr
61,Name of Project Manager,Nom du Directeur de Projet (optionnel),fr
62,Name of local partner (NGO/Government),Nom du partenaire local  (ONG/Gouvernement),fr
63,Name of Governmental Agency in charge of Disaster Management,Nom de l'Agence Gouvernementale en charge de la Gestion des Catastrophes,fr
64,Name of Governmental Agency in charge of Construction,Nom de l'Agence Gouvernementale en charge de la Construction,fr
65,Type of shelter,Type d'abri/logement,fr
66,emergency shelter,logement d'urgence,fr
67,transitional shelter,logement transitoire/de transition,fr
68,core shelter,unité de logement de base,fr
69,permanent shelter,logement permanent,fr
70,Total number of shelter built during project,Nombre total d'abris construits (pendant le projet),fr
71,Type of work (construction),Type de travaux (construction),fr
72,retrofit,rénovation/réhabilitation,fr
73,repair,réparation,fr
74,rebuilding,reconstruction,fr
75,relocation,délocalisation,fr
76,Type of settlement,Type d'établissements humains,fr
77,in a planned camp,camp planifié,fr
78,self-settlement with relocation,camp spontané avec délocalisation,fr
79,self-settlement in-situ,camp spontané sur place,fr
80,in a collective centre,centre d'accueil collectif,fr
81,host family,famille d'accueil,fr
82,in a planned site,site planifié,fr
83,Labour methods,Type de main d'œuvre,fr
84,direct (beneficiary) labour,main d'œuvre directe (bénéficiaire),fr
85,community labour,main d'œuvre communautaire,fr
