ENGLISH,,,ESPAÑOL,
Identification,,,Identificación ,
,ID,,,ID
,Name of shelter,,,Nombre de Refugio
,Survey date,,,Fecha del estudio
,Zone,,,Zona
,Africa,,,África
,Americas & Caribbean,,,América & Caribe
,Asia Pacific,,,Asia y el Pacifico
,Europe,,,Europa
,Middle East & North Africa,,,Oriente Medio y Norte de África
,Country,,,País
,Province / District / Region,,,Provincia/Distrito/Región
,City / Village,,,Ciudad/Pueblo
,GPS Latitude,,,Latitud GPS
,GPS Longitude,,,Longitud GPS
,GPS Altitude,,,Altitud GPS
,Climate zone,,,Zona climática
,dry polar,,,Seco Polar
,dry moderate,,,Seco Moderado
,dry tropical,,,Seco Tropical
,moist polar,,,Humedo Polar
,moist moderate,,,Humedo Moderado
,moist tropical,,,Humedo Tropical
,Landform,,,Relieve
,mountains,,,Montaña
,plateaus,,,Planicie
,hills,,,Colinas
,valley,,,Valle
,plain,,,Plano
,river delta,,,Delta de Rio
,desert,,,Desierto
Disaster & Response,,,Desastre & Respuesta,
,Associated disaster / Immediate cause,,,Desastres asociados/Causa inmediata
,earthquake,,,Terremoto
,flood,,,Inundacion
,storm/cyclone,,,Tormenta/Ciclon
,volcanic eruption,,,Erupcion volcanica
,fire,,,Fuego
,rockfall/landslide,,,Caida de rocas/deslizamiento de tierra
,tsunami,,,Tsunami
,drought/famine,,,Sequia/Escasez
,epidemic,,,Epidemia
,conflict related,,,Conflicto relacionado
,other,,,Otros
,Main hazards in country,,,Principales peligros del País
,earthquake,,,Terremoto
,flood,,,Inundacion
,storm/cyclone,,,Tormenta/Ciclon
,volcanic eruption,,,Erupcion volcanica
,fire,,,Fuego
,rockfall/landslide,,,Caida de rocas/deslizamiento de tierra
,tsunami,,,Tsunami
,drought,,,Sequia/Escasez
,Type of Implementing Agency,,,Tipo de Agencia de ejecucion
,by private sector,,,Por el sector Privado
,by government,,,Por el Gobierno
,by NGO/agency,,,Por ONG/Agencia
,self-built,,,Construccion propia
,Implementing Agency,,,Implementando Agencias
,Name of Project Manager,,,Nombre del director del proyecto
,Name of local partner (NGO/Government),,,Nombre del socio local (ONG/Gobierno)
,Name of Governmental Agency in charge of Disaster Management,,,Nombre del organismo gubernamental encargado de la gestión de desastres
,Name of Governmental Agency in charge of Construction,,,Nombre del organismo gubernamental encargado de la construcción
,Type of shelter,,,Tipo refugio
,emergency shelter,,,Refugio de Emergencia
,transitional shelter,,,Refugio de transicion
,core shelter,,,Refugio central
,permanent shelter,,,Refugio permanente
